sample,individual,diet,tribe,species,sex
Astbur,1,omni,haplo,Astbur,F
Lepelo,2,fish,lampr,Lepelo,M
Tromoo,3,herb,troph,Tromoo,NA
Calple,4,invert,ectod,Calple,M
Cypcol,5,plank,cypri,Cypcol,M
Julorn,6,herb_invert,lampr,Julorn,F
Lepatt,7,fish_invert,lampr,Lepatt,M
Neobre,8,plank,lampr,Neobre,F
Petort,9,herb,troph,Petort,M
Telvit,10,herb_invert,lampr,Telvit,F
Boumic,11,fish,boule,Boumic,F
Erecya,12,herb,eretm,Erecya,M
Trioto,13,plank_invert,limno,Trioto,NA
Xenspi,14,herb_invert,ectod,Xenspi,NA
Limdar,15,omni,troph,Limdar,M
Orenil,16,herb,oreoc,Orenil,M
Ctehor,17,omni,troph,Ctehor,M
Batfer,18,fish,bathy,Batfer,F
Benhor,19,fish_plank,bentho,Benhor,M
Cphfro,20,fish_plank,cypho,Cphfro,M
Hapmic,21,fish_plank,peris,Hapmic,F
Permic,22,scales,peris,Permic,M
Trezeb,23,fish_invert,trema,Trezeb,F
Neobri,24,plank,lampr,Neobri,NA
Simdia,25,herb_invert,troph,Simdia,M